"DATE","pres_norm","F_id"
2020-02-15,-2,"relation/10713870"
2020-02-16,-6,"relation/10713870"
2020-02-17,3,"relation/10713870"
2020-02-18,0,"relation/10713870"
2020-02-19,-2,"relation/10713870"
2020-02-20,1,"relation/10713870"
2020-02-21,4,"relation/10713870"
2020-02-22,-8,"relation/10713870"
2020-02-23,-12,"relation/10713870"
2020-02-24,-2,"relation/10713870"
2020-02-25,2,"relation/10713870"
2020-02-26,4,"relation/10713870"
2020-02-27,6,"relation/10713870"
2020-02-28,17,"relation/10713870"
2020-02-29,8,"relation/10713870"
2020-03-01,9,"relation/10713870"
2020-03-02,10,"relation/10713870"
2020-03-03,11,"relation/10713870"
2020-03-04,9,"relation/10713870"
2020-03-05,9,"relation/10713870"
2020-03-06,13,"relation/10713870"
2020-03-07,2,"relation/10713870"
2020-03-08,-5,"relation/10713870"
2020-03-09,1,"relation/10713870"
2020-03-10,0,"relation/10713870"
2020-03-11,-2,"relation/10713870"
2020-03-12,-4,"relation/10713870"
2020-03-13,-1,"relation/10713870"
2020-03-14,-8,"relation/10713870"
2020-03-15,-14,"relation/10713870"
2020-03-16,-11,"relation/10713870"
2020-03-17,-14,"relation/10713870"
2020-03-18,-16,"relation/10713870"
2020-03-19,-20,"relation/10713870"
2020-03-20,-19,"relation/10713870"
2020-03-21,-26,"relation/10713870"
2020-03-22,-36,"relation/10713870"
2020-03-23,-33,"relation/10713870"
2020-03-24,-28,"relation/10713870"
2020-03-25,-19,"relation/10713870"
2020-03-26,-26,"relation/10713870"
2020-03-27,-81,"relation/10713870"
2020-03-28,-79,"relation/10713870"
2020-03-29,-80,"relation/10713870"
2020-03-30,-79,"relation/10713870"
2020-03-31,-78,"relation/10713870"
2020-04-01,-77,"relation/10713870"
2020-04-02,-78,"relation/10713870"
2020-04-03,-78,"relation/10713870"
2020-04-04,-77,"relation/10713870"
2020-04-05,-78,"relation/10713870"
2020-04-06,-79,"relation/10713870"
2020-04-07,-78,"relation/10713870"
2020-04-08,-80,"relation/10713870"
2020-04-09,-79,"relation/10713870"
2020-04-10,-84,"relation/10713870"
2020-04-11,-78,"relation/10713870"
2020-04-12,-81,"relation/10713870"
2020-04-13,-85,"relation/10713870"
2020-04-14,-80,"relation/10713870"
2020-04-15,-78,"relation/10713870"
2020-04-16,-79,"relation/10713870"
2020-04-17,-78,"relation/10713870"
2020-04-18,-76,"relation/10713870"
2020-04-19,-79,"relation/10713870"
2020-04-20,-78,"relation/10713870"
2020-04-21,-78,"relation/10713870"
2020-04-22,-79,"relation/10713870"
2020-04-23,-79,"relation/10713870"
2020-04-24,-77,"relation/10713870"
2020-04-25,-73,"relation/10713870"
2020-04-26,-78,"relation/10713870"
2020-04-27,-82,"relation/10713870"
2020-04-28,-76,"relation/10713870"
2020-04-29,-75,"relation/10713870"
2020-04-30,-73,"relation/10713870"
2020-05-01,-73,"relation/10713870"
2020-05-02,-60,"relation/10713870"
2020-05-03,-66,"relation/10713870"
2020-05-04,-61,"relation/10713870"
2020-05-05,-61,"relation/10713870"
2020-05-06,-58,"relation/10713870"
2020-05-07,-59,"relation/10713870"
2020-05-08,-64,"relation/10713870"
2020-05-09,-61,"relation/10713870"
2020-05-10,-68,"relation/10713870"
2020-05-11,-63,"relation/10713870"
2020-05-12,-62,"relation/10713870"
2020-05-13,-63,"relation/10713870"
2020-05-14,-63,"relation/10713870"
2020-05-15,-62,"relation/10713870"
2020-05-16,-59,"relation/10713870"
2020-05-17,-67,"relation/10713870"
2020-05-18,-63,"relation/10713870"
2020-05-19,-63,"relation/10713870"
2020-05-20,-62,"relation/10713870"
2020-05-21,-62,"relation/10713870"
2020-05-22,-62,"relation/10713870"
2020-05-23,-58,"relation/10713870"
2020-05-24,-66,"relation/10713870"
2020-05-25,-62,"relation/10713870"
2020-05-26,-60,"relation/10713870"
2020-05-27,-60,"relation/10713870"
2020-05-28,-60,"relation/10713870"
2020-05-29,-57,"relation/10713870"
2020-05-30,-50,"relation/10713870"
